,TIENDA
CARTAGENA,0.02069526799209394
SEDE ADMINISTRATIVA,0.0169050110452273
SANTA MARTA,0.015905127310777818
MONTERIA,0.01574235554005348
HAYUELOS-BOGOTA,0.015393558888501337
LA 65,0.015254040227880478
CABECERA,0.014556446924776189
SOACHA,0.014021625392396233
VALLE DE LILI,0.013440297639809324
TIENDA CALLE 170,0.013393791419602372
GUATAPURI-VALLEDUPAR,0.013347285199395419
SANTA ANA,0.012951982327636322
TND CABECERA,0.012626438786187653
TIENDA SANTA MARTA,0.012370654575049413
AMRICAS,0.012370654575049413
CALLE 80,0.012045111033600744
JUMBO LA 65 - MEDELLIN,0.011998604813393791
TIENDA SANTA ANA,0.011394023950703406
TIENDA VALLEDUPAR,0.011091733519358214
HAYUELOS,0.010835949308219975
TIENDA CALLE 80,0.010463899546564353
CRA. 30- BOGOTA,0.010463899546564353
NORTE,0.010254621555633066
TIENDA CUCUTA - VENTURA,0.010161609115219161
TIENDA SUBA,0.009673293803046157
CALLE 170,0.009324497151494013
#N/D,0.00909196605045925
INVENTARIOS,0.008952447389838391
TND CANAVERAL,0.008882688059527962
SUBA,0.008859434949424486
IBAGUE,0.008812928729217533
LOS LIBERTADORES,0.008812928729217533
TIENDA CALI VALLE DE LILI,0.008789675619114057
AUTOPISTA SUR,0.008650156958493199
LAS VEGAS-MEDELLIN,0.008417625857458436
20 DE JULIO-BOGOTA,0.008347866527148006
CENTRO MAYOR,0.008324613417044529
MAYALES,0.008185094756423672
LAS VEGAS,0.008045576095802814
TIENDA CUCUTA,0.00799906987559586
TIENDA METRO PRADO-MEDELLIN,0.007952563655388909
TIENDA BARRANQUILLA,0.007952563655388909
TIENDA PREMIUM MEDELLIN,0.00781304499476805
OCCIDENTE,0.007789791884664574
TIENDA SOACHA,0.007301476572491571
TIENDA RIOHACHA,0.007301476572491571
TITAN,0.0072549703522846185
RIOHACHA,0.007208464132077665
20 DE JULIO,0.007068945471456808
FLORIDABLANCA,0.007022439251249854
CALLE 13,0.006766655040111615
CARRERA 30,0.006743401930008139
MEDELLêN,0.006696895709801186
TIENDA BELLO MEDELLIN,0.006650389489594233
NEIVA,0.006557377049180328
TIENDA SANTAFE MEDELLIN,0.006208580397628183
CUATRO SUR,0.006208580397628183
SANTAFE,0.0059993024066968955
ALTOS DEL PRADO,0.00597604929659342
CAMPANARIO,0.005952796186489943
BULEVAR,0.005883036856179514
TIENDA BUCARAMANGA,0.005859783746076037
CHIA,0.005859783746076037
TIENDA CHIA,0.005859783746076037
TIENDA EASY CALLE 13,0.005813277525869085
TIENDA PASTO,0.005790024415765609
TIENDA CALI 2,0.005743518195558656
BELLO,0.005557493314730845
TIENDA AUTOPISTA SUR,0.00546448087431694
TIENDA SANTA FE,0.005441227764213463
TIENDA IBAGUE,0.005394721544006511
CHIPICHAPE,0.005278455993489129
TIENDA NEIVA,0.0052552028833856524
TIENDA BARRANQUILLA2,0.0052086966631787
ALQUERIA,0.004999418672247413
METRO SANTA LUCIA,0.004929659341936984
PREMIUM PLAZA,0.0049064062318335076
GAITçN CORTS,0.0049064062318335076
LA 70,0.004883153121730032
TIENDA POPAYAN,0.004883153121730032
TIENDA SAN FELIPE,0.004883153121730032
VENTURA,0.004836646901523078
TIENDA EASY CUATRO SUR,0.004836646901523078
TIENDA EASY NORTE,0.0047436344611091735
BQUILLA BUENAVISTA,0.004697128240902221
TIENDA BOSA,0.004673875130798744
AMERICANO,0.004627368910591792
TINTALITO,0.004557609580281363
TIENDA DUITAMA,0.004557609580281363
TIENDA SIMON BOLIVAR CALI,0.0044878502499709335
TIENDA TINTALITO,0.004441344029763981
BUENAVISTA,0.004394837809557029
MULTICENTRO,0.004394837809557029
TIENDA MAYALES VALLEDUPAR,0.004394837809557029
TIENDA PITALITO,0.004348331589350075
TIENDA BULEVAR BOGOTA,0.004325078479246599
TIENDA CALI LA 70,0.004301825369143123
BARRANCA-SAN SILVESTRE,0.004208812928729218
PASTO UNICO,0.004185559818625741
TIENDA BARRANCA,0.00399953493779793
UNICENTRO TUNJA,0.00399953493779793
BQUILLA AMERICANO,0.00399953493779793
PITALITO,0.003906522497384025
MEGAMALL,0.0038832693872805487
TIENDA EASY OCCIDENTE,0.003720497616556214
VILLAVICENCIO,0.0036739913963492617
TIENDA SOGAMOSO,0.0036274851761423092
